Technology_tool,Technology_tool_example,Tech Tool Ranking
Access software,Citrix,1
Access software,Tivoli,2
Accounting software,MYOB BusinessEssentials,1
Accounting software,Intuit QuickBooks,2
Accounting software,Xero,3
Accounting software,Intuit Quicken,4
Accounting software,Oracle JD Edwards EnterpriseOne,5
Aircraft communication systems,Ultra high frequency UHF radio communication systems,1
Aircraft guidance systems,Radio frequency-based navigation and guidance systems,1
Aircraft guidance systems,Satellite-based navigation and guidance systems,2
Aircraft guidance systems,Aerial imagery mapping-grade GPS,3
Aircraft guidance systems,Differential GPS surveillance systems,4
Aircraft guidance systems,GPS surveillance systems,5
Application server software,Microsoft Windows Server,1
Application server software,VMWare ESX Server,2
Application server software,Red Hat WildFly,3
Application server software,Apache Webserver,4
Application server software,Spring Boot,5
Auditory function screening units,Auditory brainstem response ABR screening systems,1
Automation software,Electronic train management systems ETMS,1
Automation software,Ansible software,2
Blood pressure monitors,Invasive blood pressure monitors,1
Blood pressure monitors,Electronic blood pressure monitors,2
Blood pressure monitors,Manual blood pressure monitors,3
Business intelligence and data analysis software,Tableau,1
Business intelligence and data analysis software,Microsoft Power BI,2
Business intelligence and data analysis software,Qlik Tech QlikView,3
Business intelligence and data analysis software,IBM Cognos Impromptu,4
Business intelligence and data analysis software,MicroStrategy,5
Carbon monoxide analysing equipment,Carbon monoxide detectors,1
Categorisation or classification software,3M Encoder,1
CNC machines,Computerised numerical control CNC machining centres,1
CNC machines,Computerised numerical control CNC routers,2
CNC machines,Computerised numerical control CNC metal-cutting machines,3
Complementary DNA synthesis kits,DNA synthesisers,1
Compliance software,Material safety data sheet MSDS software,1
Compliance software,SOX COBIT,2
Computer aided design CAD software,Autodesk AutoCAD,1
Computer aided design CAD software,Bentley MicroStation,2
Computer aided design CAD software,Dassault Systemes SolidWorks,4
Computer aided design CAD software,Altium Designer,5
Computer aided design CAD software,1CadCam Unigraphics,3
Computer based training software,Moodle,1
Computer based training software,Blackboard,2
Computer based training software,Learning management system LMS,3
Computer based training software,Desire2Learn,4
Computer based training software,Beeline Learning Management System LMS,5
Configuration management software,VMware,1
Configuration management software,Puppet,2
Configuration management software,IBM Rational ClearCase,3
Content workflow software,Atlassian JIRA,1
Content workflow software,ServiceNow,2
CT / CAT scanning equipment,Positron emission tomography PET calibration phantoms,1
CT / CAT scanning equipment,Single photon emission computed tomography SPECT calibration phantoms,2
CT / CAT scanning equipment,CT scanners,3
CT / CAT scanning equipment,CAT scanners,4
CT / CAT scanning equipment,PET/CT scanners,5
Customer relationship management CRM software,Salesforce software,1
Customer relationship management CRM software,Microsoft Dynamics,2
Customer relationship management CRM software,MarketSharp,3
Customer relationship management CRM software,Oracle Eloqua,4
Customer relationship management CRM software,Oracle Siebel CRM,5
Data base reporting software,SAP Business Objects,1
Data base reporting software,SAP Crystal Reports,2
Data base reporting software,Microsoft SQL Server Reporting Services,3
Data base reporting software,Oracle Hyperion,4
Data base reporting software,Oracle Business Intelligence Suite,5
Data mining software,Google Analytics,1
Data mining software,SAS Enterprise Miner,2
Database management software,Teradata Database,3
Database management software,Apache Hadoop,4
Database management software,NoSQL,5
Database management software,Transact-SQL,1
Database management software,PostgreSQL,2
Defense Digital Imaging Network DIN system equipment,Defense digital imaging network-picture archiving and communications systems DIN-PACS,1
Development environment software,Shell script,1
Development environment software,Ruby,2
Development environment software,Verilog,3
Development environment software,Microsoft Visual Basic,4
Development environment software,Eclipse IDE,5
DNA sequence analysers,DNA sequencers,1
Document management software,Microsoft Office SharePoint Server,1
Document management software,Adobe Acrobat,2
Document management software,EMC Documentum,3
Document management software,FileNet P8,4
EFTPOS and card reading machines,Barcode reader software,1
EFTPOS and card reading machines,Credit card processing machines,2
EFTPOS and card reading machines,Mobile EFTPOS printers,3
EFTPOS and card reading machines,NCR Advanced Store,4
Enterprise application integration software,Extensible markup language XML,1
Enterprise application integration software,IBM WebSphere,2
Enterprise application integration software,Atlassian Bamboo,3
Enterprise application integration software,IBM InfoSphere DataStage,4
Enterprise resource planning ERP software,SAP Business Objects,1
Enterprise resource planning ERP software,Oracle PeopleSoft,2
Enterprise resource planning ERP software,Microsoft Dynamics,3
Enterprise resource planning ERP software,Oracle Primavera Enterprise Project Portfolio Management,4
Enterprise resource planning ERP software,NetSuite ERP,5
Enterprise system management software,ArcSight Enterprise Threat and Risk Management,1
Enterprise system management software,Microsoft Systems Management Server,2
Facilities management software,Computerised maintenance management system software CMMS,1
File versioning software,Git,1
File versioning software,Apache Subversion SVN,2
Financial analysis software,Oracle E-Business Suite Financials,1
Financial analysis software,CaseWare International IDEA,2
Financial analysis software,Delphi Discovery,3
Financial analysis software,Intuit Quicken,4
Financial analysis software,Oracle Hyperion Planning,5
GPS receivers,Global Positioning System GPS devices,1
GPS receivers,Geodetic ground GPS receivers,2
GPS receivers,Handheld GPS receiver,3
GPS receivers,Route mapping software,4
GPS receivers,MaxSea Time Zero Navigator NOAA,5
Graphics or photo imaging software,Adobe Photoshop,1
Graphics or photo imaging software,Adobe AfterEffects,2
Graphics or photo imaging software,Adobe Illustrator,3
Graphics or photo imaging software,Microsoft Visio,4
Graphics or photo imaging software,Corel Paint Shop Pro,5
High capacity removable media drives,Universal serial bus USB flash drives,1
High pressure liquid chromatograph chromatography,High pressure liquid chromatograph HPLC equipment,1
Human resources software,ADP Enterprise HRMS,1
Human resources software,BrightMove Applicant Tracking System,2
Human resources software,Bullhorn Applicant Tracking System,3
Human resources software,Time and Attendance Collection System TACS,4
Industrial control software,Supervisory control and data acquisition SCADA software,1
Industrial control software,Wonderware InTouch,2
Industrial control software,Human machine interface HMI software,3
Industrial control software,Computerised numerical control CNC software,4
Industrial control software,Statistical process control SPC software,5
Infrared spectrometers,Fourier transform infrared FTIR spectrometers,1
Internet protocol software,File transfer protocol FTP software,1
Internet protocol software,Multiprotocol Label Switching MPLS,2
Internet protocol software,Session Initiation Protocol SIP,3
Internet protocol software,File transfer protocol FTP client software,4
Inventory management software,Inventory tracking software,1
Inventory management software,Automated Package Processing System APPS,2
Library software,SirsiDynix Symphony,1
Map creation software,ESRI ArcGIS software,1
