Contract description/name,Contract value
TRACK RENEWAL & MAINTENANCE,48260000
TELECOMS/DATA/VOICE,25500000
CIVIL WORKS CONTRACT,24408002
CIVIL WORKS CONTRACT,15500000
TRACTION,1077929280
IT ACCESSORIES,9696976.28
CIVIL WORKS CONTRACT,8962000
CIVIL WORKS CONTRACT,8500000
LABOUR CONTRACTORS,8452225
ALTERNATE TRANSPORT,8100000
RAILWAY EQUIPMENT,7429940
LABOUR CONTRACTORS,6500000
SERVICE REPAIR COMP,5500000
CLEANING EQUIP & SUP,4467717
OTHER INVENTORY & PARTS,4017289
REFRIG & A/C EQUIP,3913285.63
IT DESKTOP - SW/HW & SERVICES,3413393.13
OTHER INVENTORY & PARTS,2860000
ELECTRICAL AND POWER SYSTEMS ENGINEERING,2739200
ALTERNATE TRANSPORT,2600000
FREIGHT & CARTAGE,2508862
LABOUR CONTRACTORS,2500000
LABOUR CONTRACTORS,2500000
OVERHEAD LINE EQUIP (OHLE),1989497
 SIGNALLING CONTRACT,1716377.96
"DESIGN, ARCHITECTURE & CERTIFICATION",1679044.07
CIVIL WORKS CONTRACT,1250000
CIVIL WORKS CONTRACT,1250000
LABOUR CONTRACTORS,1200000
PROFESSIONAL SERVICE,1180000
SOFTWARE MAINTENANCE,1074567
OTHER DIRECT PROFESSIONAL SERVICES,995500
PROFESSIONAL SERVICE,995046
RAILWAY EQUIPMENT,930000
OTHER DIRECT PROFESSIONAL SERVICES,900000
IT Desktop - SW/HW & Services,880000
IT DESKTOP - SW/HW & SERVICES,880000
IT DESKTOP - SW/HW & SERVICES,880000
IT DESKTOP - SW/HW & SERVICES,880000
IT DESKTOP - SW/HW & SERVICES,880000
IT DESKTOP - SW/HW & SERVICES,880000
IT DESKTOP - SW/HW & SERVICES,880000
IT DESKTOP - SW/HW & SERVICES,880000
IT DESKTOP - SW/HW & SERVICES,880000
ETCS ,860000
PROFESSIONAL SERVICE,770226.11
CONSULTING SERVICES,757385
ELECTRICAL CABLES AND CONDUCTORS,750000
SOFTWARE MAINTENANCE,641970
OTHER DIRECT PROFESSIONAL SERVICES,526080
"RAIL PLANT AND EQUIPMENT (HIRE, MAINTENANCE AND PURCHASE)",501272
CONSTR BLDING MATLS,486200
TRAVEL,462000
OTHER DIRECT PROFESSIONAL SERVICES,432000
OTHER DIRECT PROFESSIONAL SERVICES,430144
"DESIGN, ARCHITECTURE & CERTIFICATION",378000
TRAINING & DEVELOPMENT,373350
IT Desktop - SW/HW & Services,365535
TRAINING SERVICES,300000
CONSULTING SERVICES,288000
IT DESKTOP - SW/HW & SERVICES,272481
OTHER DIRECT PROFESSIONAL SERVICES,262080
CLEANING & GARDEN MAINTENANCE,246000
TRAINING SERVICES,225000
OTHER DIRECT PROFESSIONAL SERVICES,216000
PROFESSIONAL SERVICE,201168
OTHER DIRECT PROFESSIONAL SERVICES,199351
HARDWARE CONSUMABLES,188484.24
Facilities Hard Services,179287.29
RAILWAY EQUIPMENT,170280
OTHER DIRECT PROFESSIONAL SERVICES,170000
PROPERTY,165000
TRACTORS,160959.74
FEASIBILITY & APPRAISAL,156460
FIRE SAF & ENV EQUIP,145472.8
OTHER DIRECT PROFESSIONAL SERVICES,141120
COMMUN EQUIPMENT,138020.59
ELECTRICITY T POWER,133926.09
TRAVEL,132000
CIVIL WORKS CONTRACT,130524.9
ELECTRICITY T POWER,130162.23
RAILWAY EQUIPMENT,125942.3
BULK FUEL,123200
CONSTR BLDING MATLS,114289.03
OTHER DIRECT PROFESSIONAL SERVICES,109360
OTHER DIRECT PROFESSIONAL SERVICES,91500
VEGETATION MNGMENT,89452.96
PROFESSIONAL SERVICE,88000
RAILWAY EQUIPMENT,85689.56
TRAVEL,72655
PROFESSIONAL SERVICE,68200
PROFESSIONAL SERVICE,68200
TRAVEL,66000
SUBSCRIPTIONS,66000
OTHER DIRECT PROFESSIONAL SERVICES,60000
PROFESSIONAL SERVICE,56842.5
RAILWAY EQUIPMENT,48045.25
RAILWAY EQUIPMENT,47741.1
"ORES, MINERALS",47553.35
Other Direct Professional Services,45094
ELECTRICAL COMPNENTS,44946.39
SERV PLANT & EQUIP,44000
SERV PLANT & EQUIP,43725
PIPE TUBE HOSE & FIT,41025.6
CONSTR BLDING MATLS,39435
PROFESSIONAL SERVICE,38555
SOFTWARE MAINTENANCE,37884
COMMUN EQUIPMENT,33000
PROFESSIONAL SERVICE,33000
OPSTRVTRAIN KSR,32960.15
TRACTORS,32422.19
LABOUR CONTRACTORS,31489.37
PROFESSIONAL SERVICE,30855
HIRE-LEASE PLANT&EQP,29588.91
FUELS LUBES AND OILS,28576
RAILWAY EQUIPMENT,28462.5
CONSTR BLDING MATLS,27745.07
HIRE-LEASE PLANT&EQP,27335
HIRE-LEASE PLANT&EQP,26400
RAILWAY EQUIPMENT,26400
LABOUR CONTRACTORS,26315.58
FUELS LUBES AND OILS,26235
RAILWAY EQUIPMENT,26180
RAILWAY EQUIPMENT,26105.2
PROFESSIONAL SERVICE,25520
HIRE-LEASE PLANT&EQP,24979.9
CIVIL WORKS CONTRACT,24882
PEST CONTROL,24544.09
PIPE TUBE HOSE & FIT,24330.15
COMMUN EQUIPMENT,24145
COMMUN EQUIPMENT,24035
ELECTRICAL COMPNENTS,23565.3
ELECTRICAL COMPNENTS,23565.3
RAILWAY EQUIPMENT,23462.34
PROPERTY,23452
RAILWAY EQUIPMENT,23420.03
RAILWAY EQUIPMENT,22660
COMMUN EQUIPMENT,22072.6
RAILWAY EQUIPMENT,22033
RAILWAY EQUIPMENT,22000
ELECTRICAL COMPNENTS,21913.16
HARDWARE CONSUMABLES,21867.48
HARDWARE CONSUMABLES,21867.48
RAILWAY EQUIPMENT,21540.11
RAILWAY EQUIPMENT,21285
LABOUR CONTRACTORS,21229.89
PROFESSIONAL SERVICE,21173.9
RAILWAY EQUIPMENT,21081.5
FUELS LUBES AND OILS,20988
HARDWARE CONSUMABLES,20394
HIRE-LEASE PLANT&EQP,20350
RAILWAY EQUIPMENT,20350
RAILWAY EQUIPMENT,19897.35
PC PURCHASE,19717.5
LIGHTING & LAMPS,19594.74
TRACTORS,19371
MISCELLANEOUS,19305
HAND TOOLS,19233.5
SERV PLANT & EQUIP,19010
RAILWAY EQUIPMENT,18645
SERV PLANT & EQUIP,18603.75
SERV INSPECT & TEST,18480
HAND TOOLS,18442.6
COMMUN EQUIPMENT,18401.06
HIRE-LEASE PLANT&EQP,18315
HIRE-LEASE PLANT&EQP,18315
RAILWAY EQUIPMENT,18311.7
NONMETAL FABR MATLS,18183
RAILWAY EQUIPMENT,18123.6
MISCELLANEOUS,18084
RAILWAY EQUIPMENT,17812.17
CONSULTING SERVICES,17678
HIRE-LEASE PLANT&EQP,17600
BULK FUEL,17600
